voucher,long,lat
PA003,14.24566502,45.81989527
PA052,14.24548371,45.87630253
PA110,14.29541835,45.95144627
PA167,14.23573699,45.91070877
PA222,13.98765736,45.65148321
PA226,13.84449,45.83124
PA340,14.26283333,45.86136667
PA411,14.24566502,45.81989527
PA530,14.20728108,45.79957036
PA531,14.20728108,45.79957036
PA532,14.20728108,45.79957036
PA561,14.24566502,45.81989527
PA648,14.342792,45.8618
PA649,14.342792,45.8618
PA650,14.27517695,45.88127216
PA651,14.27517695,45.88127216
PA652,14.27517695,45.88127216
PA653,14.27517695,45.88127216
PA654,14.27517695,45.88127216
PA655,14.27517695,45.88127216
PA656,14.27517695,45.88127216
PA657,14.27517695,45.88127216
PA725,13.85082,45.68038
PA823,13.9375,45.756206
PB270,13.96459331,45.84469197
PC563,13.82859056,45.68448285
PC578,14.25206653,45.9763211
PC579,14.25206653,45.9763211
PC585,14.239692,45.643181
