Voucher,long,lat
PA168,16.47131,44.70055
PA169,16.47131,44.70055
PA205,16.47131,44.70055
PA206,16.63832,44.710006
PA257,16.47131,44.70055
PA258,16.47131,44.70055
PA259,16.47131,44.70055
PA260,16.47131,44.70055
PA329,16.47131,44.70055
PA813,16.47131,44.70055
PA815,16.47131,44.70055
PA816,16.47131,44.70055
PA818,16.47131,44.70055
PC540,16.46342,44.70361
PA112,13.63515516,45.28740829
PA113,13.63515516,45.28740829
PA114,13.63515516,45.28740829
PA115,13.63515516,45.28740829
PA116,13.63515516,45.28740829
PA117,13.63515516,45.28740829
PA118,13.63515516,45.28740829
PA119,13.63515516,45.28740829
PA120,13.63515516,45.28740829
PA121,13.63515516,45.28740829
PA263,13.63515516,45.28740829
PA267,13.63515516,45.28740829
PA299,13.63515516,45.28740829
PA300,13.63515516,45.28740829
PA302,13.63515516,45.28740829
PA303,13.63515516,45.28740829
PA304,13.63515516,45.28740829
PA305,13.63515516,45.28740829
PA306,13.63515516,45.28740829
PA331,14.15998546,45.17021515
PC622,13.63515516,45.28740829
PC623,13.63515516,45.28740829
PA230,13.48411557,45.8746078
PA238,13.59042041,45.78919862
PA261,13.5963478,45.79063642
PA262,13.5963478,45.79063642
PA330,13.85082,45.68038
PA332,13.80572627,45.70885132
PA334,13.5043015,45.88874519
PA720,13.85082,45.68038
PA723,13.85082,45.68038
PA727,13.85082,45.68038
PA728,13.85082,45.68038
PA732,13.85082,45.68038
PA762,13.87647355,45.69683177
PA763,13.87647355,45.69683177
PA799,13.5963478,45.79063642
PA800,13.5963478,45.79063642
PA801,13.5963478,45.79063642
PB944,13.85082,45.68038
PC558,13.82859056,45.68448285
PC560,13.82859056,45.68448285
PC561,13.82859056,45.68448285
PC580,13.51983333,45.81952778
PC581,13.5043015,45.88874519
PA156,15.225353,45.185884
PA160,15.24161203,45.04034812
PA264,15.24161203,45.04034812
PA266,15.225353,45.185884
PA271,15.225353,45.185884
PA272,15.225353,45.185884
PA273,15.225353,45.185884
PA274,15.225353,45.185884
PA275,15.225353,45.185884
PA276,15.225353,45.185884
PA277,15.225353,45.185884
PA278,15.225353,45.185884
PA279,15.225353,45.185884
PA280,15.225353,45.185884
PA281,15.225353,45.185884
PA282,15.225353,45.185884
PA283,15.225353,45.185884
PA284,15.24161203,45.04034812
PA285,15.24161203,45.04034812
PA286,15.24161203,45.04034812
PA287,15.24161203,45.04034812
PA288,15.24161203,45.04034812
PA289,15.24161203,45.04034812
PA290,15.24161203,45.04034812
PA307,15.1911667,45.0695833
PA308,15.1911667,45.0695833
PA309,15.1911667,45.0695833
PA310,15.1911667,45.0695833
PA311,15.225353,45.185884
PA312,15.22371978,45.20938829
PA313,15.22371978,45.20938829
PA314,15.23254529,45.21325808
PA315,15.23254529,45.21325808
PC616,15.24161203,45.04034812
PC617,15.24161203,45.04034812
PA001,14.24566502,45.81989527
PA002,14.24566502,45.81989527
PA003,14.24566502,45.81989527
PA014,14.24566502,45.81989527
PA015,14.24566502,45.81989527
PA020,14.24566502,45.81989527
PA023,14.24566502,45.81989527
PA052,14.24548371,45.87630253
PA053,13.84449,45.83124
PA055,13.98765736,45.65148321
PA098,14.24566502,45.81989527
PA099,14.24566502,45.81989527
PA102,14.29202,45.95404
PA109,14.29541835,45.95144627
PA110,14.29541835,45.95144627
PA135,14.17480341,45.71088895
PA144,14.17480341,45.71088895
PA149,14.24566502,45.81989527
PA150,14.24566502,45.81989527
PA163,14.2958284,45.94969446
PA164,14.2958284,45.94969446
PA165,14.2958284,45.94969446
PA167,14.23573699,45.91070877
PA198,14.24566502,45.81989527
PA210,14.24566502,45.81989527
PA211,14.24566502,45.81989527
PA212,14.24566502,45.81989527
PA214,14.24566502,45.81989527
PA215,14.24566502,45.81989527
PA222,13.98765736,45.65148321
PA223,13.98765736,45.65148321
PA226,13.84449,45.83124
PA320,14.24566502,45.81989527
PA328,13.87647355,45.69683177
PA340,14.26283333,45.86136667
PA411,14.24566502,45.81989527
PA530,14.20728108,45.79957036
PA531,14.20728108,45.79957036
PA532,14.20728108,45.79957036
PA561,14.24566502,45.81989527
PA590,14.24566502,45.81989527
PA648,14.342792,45.8618
PA649,14.342792,45.8618
PA650,14.27517695,45.88127216
PA651,14.27517695,45.88127216
PA652,14.27517695,45.88127216
PA653,14.27517695,45.88127216
PA654,14.27517695,45.88127216
PA655,14.27517695,45.88127216
PA656,14.27517695,45.88127216
PA657,14.27517695,45.88127216
PA722,13.85082,45.68038
PA725,13.85082,45.68038
PA726,13.85082,45.68038
PA733,13.85082,45.68038
PA734,13.85082,45.68038
PA735,13.85082,45.68038
PA823,13.9375,45.756206
PA845,14.46310234,45.72530136
PB270,13.96459331,45.84469197
PC559,13.82859056,45.68448285
PC563,13.82859056,45.68448285
PC578,14.25206653,45.9763211
PC579,14.25206653,45.9763211
PC585,14.239692,45.643181
PA033,16.74466727,43.62102697
PA035,16.74466727,43.62102697
PA036,16.74466727,43.62102697
PA037,16.74466727,43.62102697
PA038,16.74466727,43.62102697
PA039,16.74466727,43.62102697
PA040,16.74466727,43.62102697
PA042,16.74466727,43.62102697
PA044,16.74466727,43.62102697
PA048,16.74466727,43.62102697
PA155,17.98388833,42.8458
PA157,16.01861835,44.00313313
PA158,16.01861835,44.00313313
PA159,16.01861835,44.00313313
PA161,16.01330699,43.81712828
PA162,17.98388833,42.8458
PA265,16.01861835,44.00313313
PA268,16.01330699,43.81712828
PA269,16.01861835,44.00313313
PA291,16.01861835,44.00313313
PA292,16.01861835,44.00313313
PA293,16.01861835,44.00313313
PA294,16.01861835,44.00313313
PA295,16.01861835,44.00313313
PA296,16.01330699,43.81712828
PA297,16.01330699,43.81712828
PA321,18.36863902,42.71444254
PA345,16.74466727,43.62102697
PA348,17.98388833,42.8458
PC587,17.98388833,42.8458
PC633,17.60904422,43.17594038
PA007,15.14915368,45.57308209
PA008,15.14915368,45.57308209
PA009,15.14915368,45.57308209
PA027,15.14915368,45.57308209
PA143,15.14915368,45.57308209
PA152,15.14915368,45.57308209
PA202,15.14915368,45.57308209
PA227,15.14915368,45.57308209
PA228,15.14915368,45.57308209
PA317,15.14915368,45.57308209
PA318,15.14915368,45.57308209
PA319,15.14915368,45.57308209
PA591,15.147472,45.569253
PA645,15.147472,45.569253
PA743,15.16656667,45.56240556
PC592,15.147472,45.569253
PC614,15.147472,45.569253
PA004,15.166772,45.592261
PA006,15.166772,45.592261
PA011,14.73093995,45.79950251
PA012,14.73093995,45.79950251
PA013,15.166772,45.592261
PA101,15.17073562,45.60426056
PA122,14.74859357,45.65994115
PA123,14.74859357,45.65994115
PA124,14.74859357,45.65994115
PA125,14.74859357,45.65994115
PA126,14.74859357,45.65994115
PA127,14.74859357,45.65994115
PA128,14.74859357,45.65994115
PA129,14.74859357,45.65994115
PA130,14.74859357,45.65994115
PA131,14.74859357,45.65994115
PA132,15.166772,45.592261
PA133,15.166772,45.592261
PA136,14.73093995,45.79950251
PA137,15.166772,45.592261
PA139,14.73093995,45.79950251
PA140,15.166772,45.592261
PA141,15.166772,45.592261
PA142,15.166772,45.592261
PA151,15.166772,45.592261
PA153,15.166772,45.592261
PA166,14.78954216,45.70822136
PA201,14.73093995,45.79950251
PA213,15.166772,45.592261
PA217,14.72513699,45.91778442
PA224,14.78954216,45.70822136
PA225,14.78954216,45.70822136
PA229,15.0612604,45.75598838
PA255,15.21676222,45.63482189
PA256,15.21676222,45.63482189
PA342,14.76712528,45.88712278
PA343,14.76712528,45.88712278
PA344,14.76712528,45.88712278
PA346,15.06126036,45.75598838
PA702,15.0453,45.7394
PA703,15.0453,45.7394
PA764,14.94481174,45.81039298
PA765,14.94481174,45.81039298
PA766,14.94481174,45.81039298
PA770,14.68632309,45.8392687
PA771,14.68632309,45.8392687
PA772,14.68632309,45.8392687
PA803,14.70548735,45.9039246
PA804,14.70548735,45.9039246
PA805,14.70548735,45.9039246
PA806,15.19221667,45.60842778
PB521,14.89536111,45.65471667
PB522,14.89536111,45.65471667
PB523,14.89536111,45.65471667
PB524,14.89536111,45.65471667
PB525,14.89536111,45.65471667
PB549,14.88704444,45.64921111
PB550,14.88704444,45.64921111
PB551,14.88704444,45.64921111
PB552,14.88704444,45.64921111
PB553,14.88704444,45.64921111
PB554,14.88704444,45.64921111
PB555,14.88704444,45.64921111
PB600,14.942967,45.810083
PB601,14.942967,45.810083
PB602,14.942967,45.810083
PB603,14.942967,45.810083
PC499,14.9622194,45.51282723
PC500,14.9622194,45.51282723
PC525,14.89536111,45.65471667
PA070,14.79391194,45.94875526
PA216,14.815247,45.948785
PA745,14.815247,45.948785
PC453,14.815247,45.948785
PC454,14.815247,45.948785
PC455,14.815247,45.948785
PC456,14.815247,45.948785
PC643,14.815247,45.948785
PC644,14.815247,45.948785
PC645,14.815247,45.948785
PC646,14.815247,45.948785
